metric_fname_dl,metric_fname_jw,metric_fname_soundex,metric_lname_dl,metric_lname_jw,metric_lname_soundex,metric_gender_code_ff,metric_gender_code_mm,metric_gender_code_same,metric_race_code_same,metric_race_code_ww_bb,metric_year_diff_abs,metric_age,metric_ffreq_mean,metric_lfreq_mean,match
0,0,0,5,0.5555555555555556,1,2,0,TRUE,TRUE,TRUE,34,63,2.1880133533696693,-0.6452988667737929,unmatch
3,0.33333333333333337,0,6,0.5277777777777779,1,2,0,TRUE,TRUE,TRUE,34,54,-0.579154377803861,-0.3434714981684435,unmatch
1,0.1333333333333333,0,7,0.638888888888889,1,1,1,FALSE,TRUE,TRUE,4,48,-0.1552492537792693,0.034784167803250624,unmatch
0,0,0,6,0.5634920634920635,1,2,0,TRUE,TRUE,TRUE,3,34,0.2836869909994445,-0.6223257096682028,unmatch
0,0,0,6,1,1,0,2,TRUE,TRUE,TRUE,11,59,0.2613761949981502,0.41358683155190684,unmatch
0,0,0,0,0,0,1,1,FALSE,TRUE,TRUE,0,48,-0.231201111880795,-0.8120844596607055,match
0,0,0,6,0.4722222222222223,1,0,2,TRUE,TRUE,TRUE,5,72,-0.08483627901798338,-0.6663521900510176,unmatch
2,0.41666666666666674,0,7,0.5416666666666667,1,2,0,TRUE,TRUE,TRUE,27,29,-0.7614378401910609,-0.3536149942827326,unmatch
4,0.4222222222222223,0,7,0.5583333333333333,1,2,0,TRUE,TRUE,TRUE,25,28,-0.29386064702220727,0.4710468071242802,unmatch
0,0,0,0,0,0,0,2,TRUE,TRUE,TRUE,1,69,-0.6437129586619269,-0.22509905109803824,match
3,0.14285714285714302,0,4,0.44444444444444453,1,0,2,TRUE,TRUE,TRUE,47,22,-0.5839009950390333,2.0488269517748168,unmatch
0,0,0,3,0.11111111111111116,1,0,2,TRUE,TRUE,TRUE,0,65,-0.73960180561893,-0.3078880133432371,match
4,0.5166666666666667,0,7,0.5416666666666667,1,2,0,TRUE,TRUE,TRUE,8,48,-0.1989213229235311,-0.06785312012715718,unmatch
3,0.3111111111111112,0,8,0.4722222222222223,1,1,1,FALSE,TRUE,TRUE,14,53,-0.28626546121205465,-0.2026755625739092,unmatch
0,0,0,0,0,0,0,2,TRUE,TRUE,TRUE,1,49,-0.18040861835554406,2.9789773736441374,match
2,0.11111111111111116,0,6,0.4126984126984128,1,2,0,TRUE,TRUE,TRUE,0,68,-0.5647552752321616,-0.5424422455717004,unmatch
0,0,0,0,0,0,0,2,TRUE,TRUE,TRUE,1,42,0.05504114470272366,-0.7924013016303848,match
4,0.44444444444444453,0,4,0.3571428571428572,1,2,0,TRUE,TRUE,TRUE,2,68,-0.5986166052301749,-0.2845330261155732,unmatch
0,0,0,7,0.5583333333333333,1,2,0,TRUE,TRUE,TRUE,0,22,-0.6952967212357836,-0.4916164337666622,match
0,0,0,6,1,1,2,0,TRUE,TRUE,TRUE,7,53,-0.5995661280885018,-0.5743512303950646,unmatch
